HO_TEN,GIOI_TINH,NGAY_SINH,MA_DAN_TOC,SO_CCCD,NGAYCAP_CCCD,NOICAP_CCCD,NGUOI_GIAM_HO,SO_CCCD_NGH,DIA_CHI,MATINH_CU_TRU,MAXA_CU_TRU,DIEN_THOAI,BOPHAN,CHUCVU,GHICHU
Nguyễn Văn An,Nam,15/05/2012,01,037095000123,20/10/2023,Cục C06,Nguyễn Văn Bình,037070004567,12 Láng Hạ,01,00001,0912345678,Học sinh,Lớp 8A,Khám sức khỏe học sinh
Phạm Minh Thư,Nữ,22/08/2010,01,038096000234,15/12/2024,Cục C06,Phạm Văn Minh,038072007890,45 Nguyễn Trãi,01,00003,0987654321,Học sinh,Lớp 10B,Khám sức khỏe học sinh
Trần Đức Hùng,Nam,10/01/2014,01,039097000345,05/03/2024,Cục C06,Trần Quốc Toản,039075001234,78 Trần Hưng Đạo,01,00005,0905123456,Học sinh,Lớp 6C,Khám sức khỏe học sinh
Lê Thị Hồng,Nữ,05/04/2005,01,001095000456,12/05/2021,Cục Cảnh sát,Lê Văn Tám,001070002345,Phường Kim Liên,01,00007,0978123456,Sinh viên,Năm 1,Khám sức khỏe sinh viên
Hoàng Quốc Bảo,Nam,18/12/2008,01,002098000567,18/12/2023,Cục Cảnh sát,Hoàng Văn Thụ,002075003456,Phường Dịch Vọng,01,00009,0966123456,Học sinh,Lớp 12A,Khám sức khỏe học sinh
Đặng Minh Khang,Nam,25/09/2013,01,003099000678,10/09/2024,Cục C06,Đặng Văn Hiến,003070004567,Phường Bách Khoa,01,00011,0932123456,Học sinh,Lớp 7D,Khám sức khỏe học sinh
Bùi Kim Chi,Nữ,30/06/2011,01,004097000789,08/07/2024,Cục C06,Bùi Công Minh,004071005678,Phường Nghĩa Đô,01,00013,0918123456,Học sinh,Lớp 9A,Khám sức khỏe học sinh
Ngô Thanh Sơn,Nam,14/02/2009,01,005099000890,14/02/2024,Cục C06,Ngô Quốc Khánh,005072006789,Phường Mỹ Đình,01,00015,0945123456,Học sinh,Lớp 11B,Khám sức khỏe học sinh
Vũ Thùy Linh,Nữ,09/11/2006,01,006096000901,11/11/2022,Cục Cảnh sát,Vũ Văn Hùng,006073007890,Phường Yên Hòa,01,00017,0988123456,Sinh viên,Năm 2,Khám sức khỏe sinh viên
Đỗ Gia Huy,Nam,01/01/2015,01,007095001012,01/02/2025,Cục C06,Đỗ Gia Bảo,007074008901,Phường Mễ Trì,01,00019,0909123456,Học sinh,Lớp 5A,Khám sức khỏe học sinh
